concept,namespace,period_type,balance,statement
AccountingProfit,ifrs,duration,credit,P&L / Cash Flow
AccruedInterestExpense,mx_ccd,duration,debit,P&L / Cash Flow
AcquisitionAndAdministrationExpenseRelatedToInsuranceContracts,ifrs,duration,debit,P&L / Cash Flow
AcquisitionrelatedCostsForTransactionRecognisedSeparatelyFromAcquisitionOfAssetsAndAssumptionOfLiabilitiesInBusinessCombination,ifrs,duration,debit,P&L / Cash Flow
AcquisitionrelatedCostsRecognisedAsExpenseForTransactionRecognisedSeparatelyFromAcquisitionOfAssetsAndAssumptionOfLiabilitiesInBusinessCombination,ifrs,duration,debit,P&L / Cash Flow
AcquisitionsThroughBusinessCombinationsBiologicalAssets,ifrs,duration,debit,P&L / Cash Flow
AcquisitionsThroughBusinessCombinationsDeferredAcquisitionCostsArisingFromInsuranceContracts,ifrs,duration,debit,P&L / Cash Flow
AcquisitionsThroughBusinessCombinationsIntangibleAssetsAndGoodwill,ifrs,duration,debit,P&L / Cash Flow
AcquisitionsThroughBusinessCombinationsIntangibleAssetsOtherThanGoodwill,ifrs,duration,debit,P&L / Cash Flow
AcquisitionsThroughBusinessCombinationsInvestmentProperty,ifrs,duration,debit,P&L / Cash Flow
AcquisitionsThroughBusinessCombinationsLiabilitiesUnderInsuranceContractsAndReinsuranceContractsIssued,ifrs,duration,credit,P&L / Cash Flow
AcquisitionsThroughBusinessCombinationsOtherProvisions,ifrs,duration,credit,P&L / Cash Flow
AcquisitionsThroughBusinessCombinationsPropertyPlantAndEquipment,ifrs,duration,debit,P&L / Cash Flow
AcquisitionsThroughBusinessCombinationsReinsuranceAssets,ifrs,duration,debit,P&L / Cash Flow
ActuarialGainsLossesArisingFromChangesInDemographicAssumptionsNetDefinedBenefitLiabilityAsset,ifrs,duration,debit,P&L / Cash Flow
ActuarialGainsLossesArisingFromChangesInFinancialAssumptionsNetDefinedBenefitLiabilityAsset,ifrs,duration,debit,P&L / Cash Flow
AdditionalAllowanceRecognisedInProfitOrLossAllowanceAccountForCreditLossesOfFinancialAssets,ifrs,duration,,P&L / Cash Flow
AdditionalInformationAboutEntityExposureToRisk,ifrs,duration,,P&L / Cash Flow
AdditionalInformationAboutNatureAndFinancialEffectOfBusinessCombination,ifrs,duration,,P&L / Cash Flow
AdditionalInformationAboutNatureOfAndChangesInRisksAssociatedWithInterestsInStructuredEntitiesExplanatory,ifrs,duration,,P&L / Cash Flow
AdditionalInformationAboutSharebasedPaymentArrangements,ifrs,duration,,P&L / Cash Flow
AdditionalLiabilitiesContingentLiabilitiesRecognisedInBusinessCombination,ifrs,duration,credit,P&L / Cash Flow
AdditionalProvisionsOtherProvisions,ifrs,duration,credit,P&L / Cash Flow
AdditionalRecognitionGoodwill,ifrs,duration,debit,P&L / Cash Flow
AdditionsFromAcquisitionsInvestmentProperty,ifrs,duration,debit,P&L / Cash Flow
AdditionsFromSubsequentExpenditureRecognisedAsAssetInvestmentProperty,ifrs,duration,debit,P&L / Cash Flow
AdditionsLiabilitiesUnderInsuranceContractsAndReinsuranceContractsIssued,ifrs,duration,credit,P&L / Cash Flow
AdditionsOtherThanThroughBusinessCombinationsBiologicalAssets,ifrs,duration,debit,P&L / Cash Flow
AdditionsOtherThanThroughBusinessCombinationsIntangibleAssetsOtherThanGoodwill,ifrs,duration,debit,P&L / Cash Flow
AdditionsOtherThanThroughBusinessCombinationsInvestmentProperty,ifrs,duration,debit,P&L / Cash Flow
AdditionsOtherThanThroughBusinessCombinationsPropertyPlantAndEquipment,ifrs,duration,debit,P&L / Cash Flow
AdditionsOtherThanThroughBusinessCombinationsReinsuranceAssets,ifrs,duration,debit,P&L / Cash Flow
AdditionsToNoncurrentAssets,ifrs,duration,debit,P&L / Cash Flow
AddressOfRegisteredOfficeOfEntity,ifrs,duration,,P&L / Cash Flow
AddressWhereConsolidatedFinancialStatementsAreObtainable,ifrs,duration,,P&L / Cash Flow
AdjustedWeightedAverageShares,ifrs,duration,,P&L / Cash Flow
AdjustmentToMidmarketConsensusPriceSignificantUnobservableInputsAssets,ifrs,duration,,P&L / Cash Flow
AdjustmentToMidmarketConsensusPriceSignificantUnobservableInputsEntitysOwnEquityInstruments,ifrs,duration,,P&L / Cash Flow
AdjustmentToMidmarketConsensusPriceSignificantUnobservableInputsLiabilities,ifrs,duration,,P&L / Cash Flow
AdjustmentsForAmortisationExpense,ifrs,duration,debit,P&L / Cash Flow
AdjustmentsForAmountsTransferredToInitialCarryingAmountOfHedgedItems,ifrs,duration,debit,P&L / Cash Flow
AdjustmentsForCurrentTaxOfPriorPeriod,ifrs,duration,debit,P&L / Cash Flow
AdjustmentsForDecreaseIncreaseInInventories,ifrs,duration,debit,P&L / Cash Flow
AdjustmentsForDecreaseIncreaseInLoansAndAdvancesToBanks,ifrs,duration,debit,P&L / Cash Flow
AdjustmentsForDecreaseIncreaseInLoansAndAdvancesToCustomers,ifrs,duration,debit,P&L / Cash Flow
AdjustmentsForDecreaseIncreaseInOtherAssets,ifrs,duration,debit,P&L / Cash Flow
AdjustmentsForDecreaseIncreaseInOtherCurrentAssets,ifrs,duration,debit,P&L / Cash Flow
AdjustmentsForDecreaseIncreaseInOtherOperatingReceivables,ifrs,duration,debit,P&L / Cash Flow
AdjustmentsForDecreaseIncreaseInTradeAccountReceivable,ifrs,duration,debit,P&L / Cash Flow
AdjustmentsForDecreaseIncreaseInTradeAndOtherReceivables,ifrs,duration,debit,P&L / Cash Flow
AdjustmentsForDeferredTaxExpense,ifrs,duration,debit,P&L / Cash Flow
AdjustmentsForDeferredTaxOfPriorPeriods,ifrs,duration,debit,P&L / Cash Flow
AdjustmentsForDepreciationAndAmortisationExpense,ifrs,duration,debit,P&L / Cash Flow
AdjustmentsForDepreciationAndAmortisationExpenseAndImpairmentLossReversalOfImpairmentLossRecognisedInProfitOrLoss,ifrs,duration,debit,P&L / Cash Flow
AdjustmentsForDepreciationExpense,ifrs,duration,debit,P&L / Cash Flow
AdjustmentsForDividendIncome,ifrs,duration,credit,P&L / Cash Flow
AdjustmentsForFairValueGainsLosses,ifrs,duration,debit,P&L / Cash Flow
AdjustmentsForFinanceCosts,ifrs,duration,debit,P&L / Cash Flow
AdjustmentsForFinanceIncome,ifrs,duration,credit,P&L / Cash Flow
AdjustmentsForFinanceIncomeCost,ifrs,duration,credit,P&L / Cash Flow
AdjustmentsForGainLossOnDisposalOfInvestmentsInSubsidiariesJointVenturesAndAssociates,ifrs,duration,credit,P&L / Cash Flow
AdjustmentsForGainLossOnDisposalsPropertyPlantAndEquipment,ifrs,duration,credit,P&L / Cash Flow
AdjustmentsForGainsLossesOnChangeInFairValueOfDerivatives,ifrs,duration,credit,P&L / Cash Flow
AdjustmentsForGainsLossesOnFairValueAdjustmentInvestmentProperty,ifrs,duration,credit,P&L / Cash Flow
AdjustmentsForImpairmentLossRecognisedInProfitOrLossGoodwill,ifrs,duration,debit,P&L / Cash Flow
AdjustmentsForImpairmentLossReversalOfImpairmentLossRecognisedInProfitOrLoss,ifrs,duration,debit,P&L / Cash Flow
AdjustmentsForImpairmentLossReversalOfImpairmentLossRecognisedInProfitOrLossExplorationAndEvaluationAssets,ifrs,duration,debit,P&L / Cash Flow
AdjustmentsForImpairmentLossReversalOfImpairmentLossRecognisedInProfitOrLossInventories,ifrs,duration,debit,P&L / Cash Flow
AdjustmentsForImpairmentLossReversalOfImpairmentLossRecognisedInProfitOrLossTradeAndOtherReceivables,ifrs,duration,debit,P&L / Cash Flow
AdjustmentsForIncomeTaxExpense,ifrs,duration,debit,P&L / Cash Flow
AdjustmentsForIncreaseDecreaseInDeferredIncome,ifrs,duration,debit,P&L / Cash Flow
AdjustmentsForIncreaseDecreaseInDepositsFromBanks,ifrs,duration,debit,P&L / Cash Flow
AdjustmentsForIncreaseDecreaseInDepositsFromCustomers,ifrs,duration,debit,P&L / Cash Flow
AdjustmentsForIncreaseDecreaseInEmployeeBenefitLiabilities,ifrs,duration,debit,P&L / Cash Flow
AdjustmentsForIncreaseDecreaseInInsuranceReinsuranceAndInvestmentContractLiabilities,ifrs,duration,debit,P&L / Cash Flow
AdjustmentsForIncreaseDecreaseInOtherCurrentLiabilities,ifrs,duration,debit,P&L / Cash Flow
AdjustmentsForIncreaseDecreaseInOtherLiabilities,ifrs,duration,debit,P&L / Cash Flow
AdjustmentsForIncreaseDecreaseInOtherOperatingPayables,ifrs,duration,debit,P&L / Cash Flow
AdjustmentsForIncreaseDecreaseInTradeAccountPayable,ifrs,duration,debit,P&L / Cash Flow
AdjustmentsForIncreaseDecreaseInTradeAndOtherPayables,ifrs,duration,debit,P&L / Cash Flow
AdjustmentsForIncreaseInOtherProvisionsArisingFromPassageOfTime,ifrs,duration,debit,P&L / Cash Flow
AdjustmentsForInterestExpense,ifrs,duration,debit,P&L / Cash Flow
AdjustmentsForInterestIncome,ifrs,duration,credit,P&L / Cash Flow
AdjustmentsForLossesGainsOnDisposalOfNoncurrentAssets,ifrs,duration,debit,P&L / Cash Flow
AdjustmentsForProvisions,ifrs,duration,debit,P&L / Cash Flow
AdjustmentsForReconcileProfitLoss,ifrs,duration,debit,P&L / Cash Flow
AdjustmentsForSharebasedPayments,ifrs,duration,debit,P&L / Cash Flow
AdjustmentsForUndistributedProfitsOfAssociates,ifrs,duration,credit,P&L / Cash Flow
AdjustmentsForUndistributedProfitsOfInvestmentsAccountedForUsingEquityMethod,ifrs,duration,credit,P&L / Cash Flow
AdjustmentsForUnrealisedForeignExchangeLossesGains,ifrs,duration,debit,P&L / Cash Flow
AdjustmentsToReconcileProfitLossOtherThanChangesInWorkingCapital,ifrs,duration,debit,P&L / Cash Flow
AdministrativeExpense,ifrs,duration,debit,P&L / Cash Flow
Advertising,mx_ccd,duration,debit,P&L / Cash Flow
AmortisationDeferredAcquisitionCostsArisingFromInsuranceContracts,ifrs,duration,credit,P&L / Cash Flow
AmortisationExpense,ifrs,duration,debit,P&L / Cash Flow
AmortisationIntangibleAssetsOtherThanGoodwill,ifrs,duration,,P&L / Cash Flow
AmortisationMethodIntangibleAssetsOtherThanGoodwill,ifrs,duration,,P&L / Cash Flow
AmortisationOfGainsAndLossesArisingOnBuyingReinsurance,ifrs,duration,debit,P&L / Cash Flow
AmountIncurredByEntityForProvisionOfKeyManagementPersonnelServicesProvidedBySeparateManagementEntity,ifrs,duration,debit,P&L / Cash Flow
AmountOfReclassificationsOrChangesInPresentation,ifrs,duration,,P&L / Cash Flow
AmountPresentedInOtherComprehensiveIncomeRealisedAtDerecognition,ifrs,duration,,P&L / Cash Flow
AmountRecognisedAsIncomeFromArrangementInvolvingLegalFormOfLease,ifrs,duration,credit,P&L / Cash Flow
AmountRemovedFromReserveOfCashFlowHedgesAndIncludedInInitialCostOrOtherCarryingAmountOfNonfinancialAssetLiabilityOrFirmCommitmentForWhichFairValueHedgeAccountingIsApplied,ifrs,duration,debit,P&L / Cash Flow
AmountRemovedFromReserveOfChangeInValueOfForeignCurrencyBasisSpreadsAndIncludedInInitialCostOrOtherCarryingAmountOfNonfinancialAssetLiabilityOrFirmCommitmentForWhichFairValueHedgeAccountingIsApplied,ifrs,duration,debit,P&L / Cash Flow
AmountRemovedFromReserveOfChangeInValueOfForwardElementsOfForwardContractsAndIncludedInInitialCostOrOtherCarryingAmountOfNonfinancialAssetLiabilityOrFirmCommitmentForWhichFairValueHedgeAccountingIsApplied,ifrs,duration,debit,P&L / Cash Flow
AmountRemovedFromReserveOfChangeInValueOfTimeValueOfOptionsAndIncludedInInitialCostOrOtherCarryingAmountOfNonfinancialAssetLiabilityOrFirmCommitmentForWhichFairValueHedgeAccountingIsApplied,ifrs,duration,debit,P&L / Cash Flow
AmountsIncurredDeferredAcquisitionCostsArisingFromInsuranceContracts,ifrs,duration,debit,P&L / Cash Flow
AmountsRecognisedForTransactionRecognisedSeparatelyFromAcquisitionOfAssetsAndAssumptionOfLiabilitiesInBusinessCombination,ifrs,duration,,P&L / Cash Flow
AmountsRemovedFromEquityAndIncludedInCarryingAmountOfNonfinancialAssetLiabilityWhoseAcquisitionOrIncurrenceWasHedgedHighlyProbableForecastTransactionBeforeTax,ifrs,duration,debit,P&L / Cash Flow
AnalysisOfAgeOfFinancialAssetsThatArePastDueButNotImpaired,ifrs,duration,,P&L / Cash Flow
AnalysisOfCreditExposuresUsingExternalCreditGradingSystemExplanatory,ifrs,duration,,P&L / Cash Flow
AnalysisOfCreditExposuresUsingInternalCreditGradingSystemExplanatory,ifrs,duration,,P&L / Cash Flow
AnalysisOfFinancialAssetsThatAreIndividuallyDeterminedToBeImpaired,ifrs,duration,,P&L / Cash Flow
ApplicableTaxRate,ifrs,duration,,P&L / Cash Flow
AssetsOtherThanCashOrCashEquivalentsInSubsidiaryOrBusinessesAcquiredOrDisposed2013,ifrs,duration,debit,P&L / Cash Flow
AssetsTransferredToStructuredEntitiesAtTimeOfTransfer,ifrs,duration,credit,P&L / Cash Flow
AuditorsRemuneration,ifrs,duration,debit,P&L / Cash Flow
AuditorsRemunerationForAuditServices,ifrs,duration,debit,P&L / Cash Flow
AuditorsRemunerationForOtherServices,ifrs,duration,debit,P&L / Cash Flow
AuditorsRemunerationForTaxServices,ifrs,duration,debit,P&L / Cash Flow
AverageEffectiveTaxRate,ifrs,duration,,P&L / Cash Flow
AverageForeignExchangeRate,ifrs,duration,,P&L / Cash Flow
AverageNumberOfEmployees,ifrs,duration,,P&L / Cash Flow
BankAndSimilarCharges,ifrs,duration,debit,P&L / Cash Flow
BasicAndDilutedEarningsLossPerShare,ifrs,duration,,P&L / Cash Flow
BasicAndDilutedEarningsLossPerShareFromContinuingOperations,ifrs,duration,,P&L / Cash Flow
BasicAndDilutedEarningsLossPerShareFromDiscontinuedOperations,ifrs,duration,,P&L / Cash Flow
BasicEarningsLossPerShare,ifrs,duration,,P&L / Cash Flow
BasicEarningsLossPerShareFromContinuingOperations,ifrs,duration,,P&L / Cash Flow
BasicEarningsLossPerShareFromDiscontinuedOperations,ifrs,duration,,P&L / Cash Flow
BasisForAttributingRevenuesFromExternalCustomersToIndividualCountries,ifrs,duration,,P&L / Cash Flow
BenefitsPaidOrPayable,ifrs,duration,debit,P&L / Cash Flow
BorrowingCostsCapitalised,ifrs,duration,,P&L / Cash Flow
BorrowingCostsIncurred,ifrs,duration,,P&L / Cash Flow
BorrowingCostsRecognisedAsExpense,ifrs,duration,debit,P&L / Cash Flow
BorrowingsInterestRateBasis,ifrs,duration,,P&L / Cash Flow
BorrowingsMaturity,ifrs,duration,,P&L / Cash Flow
BorrowingsOriginalCurrency,ifrs,duration,,P&L / Cash Flow
BrokerageFeeExpense,ifrs,duration,debit,P&L / Cash Flow
BrokerageFeeIncome,ifrs,duration,credit,P&L / Cash Flow
CancellationOfTreasuryShares,ifrs,duration,credit,P&L / Cash Flow
CapitalisationRateOfBorrowingCostsEligibleForCapitalisation,ifrs,duration,,P&L / Cash Flow
CashAdvancesAndLoansMadeToOtherPartiesClassifiedAsInvestingActivities,ifrs,duration,credit,P&L / Cash Flow
CashAdvancesAndLoansMadeToRelatedParties,ifrs,duration,credit,P&L / Cash Flow
CashAndCashEquivalentsInSubsidiaryOrBusinessesAcquiredOrDisposed2013,ifrs,duration,debit,P&L / Cash Flow
CashFlowFromInvestmentFunds,mx_ccd,duration,debit,P&L / Cash Flow
CashFlowStatementForInderectMethod,mx_ccd,duration,,P&L / Cash Flow
CashFlowsFromLosingControlOfSubsidiariesOrOtherBusinessesClassifiedAsInvestingActivities,ifrs,duration,debit,P&L / Cash Flow
CashFlowsFromUsedInDecreaseIncreaseInRestrictedCashAndCashEquivalents,ifrs,duration,debit,P&L / Cash Flow
CashFlowsFromUsedInDecreaseIncreaseInShorttermDepositsAndInvestments,ifrs,duration,debit,P&L / Cash Flow
CashFlowsFromUsedInExplorationForAndEvaluationOfMineralResourcesClassifiedAsInvestingActivities,ifrs,duration,debit,P&L / Cash Flow
CashFlowsFromUsedInExplorationForAndEvaluationOfMineralResourcesClassifiedAsOperatingActivities,ifrs,duration,debit,P&L / Cash Flow
CashFlowsFromUsedInFinancingActivities,ifrs,duration,debit,P&L / Cash Flow
CashFlowsFromUsedInFinancingActivitiesContinuingOperations,ifrs,duration,debit,P&L / Cash Flow
CashFlowsFromUsedInFinancingActivitiesDiscontinuedOperations,ifrs,duration,debit,P&L / Cash Flow
CashFlowsFromUsedInIncreaseDecreaseInCurrentBorrowings,ifrs,duration,debit,P&L / Cash Flow
CashFlowsFromUsedInIncreasesInOperatingCapacity,ifrs,duration,debit,P&L / Cash Flow
CashFlowsFromUsedInInsuranceContracts,ifrs,duration,debit,P&L / Cash Flow
CashFlowsFromUsedInInvestingActivities,ifrs,duration,debit,P&L / Cash Flow
CashFlowsFromUsedInInvestingActivitiesContinuingOperations,ifrs,duration,debit,P&L / Cash Flow
CashFlowsFromUsedInInvestingActivitiesDiscontinuedOperations,ifrs,duration,debit,P&L / Cash Flow
CashFlowsFromUsedInMaintainingOperatingCapacity,ifrs,duration,debit,P&L / Cash Flow
CashFlowsFromUsedInOperatingActivities,ifrs,duration,,P&L / Cash Flow
CashFlowsFromUsedInOperatingActivitiesContinuingOperations,ifrs,duration,debit,P&L / Cash Flow
CashFlowsFromUsedInOperatingActivitiesDiscontinuedOperations,ifrs,duration,debit,P&L / Cash Flow
CashFlowsFromUsedInOperations,ifrs,duration,,P&L / Cash Flow
CashFlowsFromUsedInOperationsBeforeChangesInWorkingCapital,ifrs,duration,,P&L / Cash Flow
CashFlowsUsedForTheAcquisitionOfInvestmentFunds,mx_ccd,duration,credit,P&L / Cash Flow
CashFlowsUsedInExplorationAndDevelopmentActivities,ifrs,duration,credit,P&L / Cash Flow
CashFlowsUsedInObtainingControlOfSubsidiariesOrOtherBusinessesClassifiedAsInvestingActivities,ifrs,duration,credit,P&L / Cash Flow
CashPaidLiabilitiesUnderInsuranceContractsAndReinsuranceContractsIssued,ifrs,duration,debit,P&L / Cash Flow
CashPaymentsForFutureContractsForwardContractsOptionContractsAndSwapContractsClassifiedAsInvestingActivities,ifrs,duration,credit,P&L / Cash Flow
CashReceiptsFromFutureContractsForwardContractsOptionContractsAndSwapContractsClassifiedAsInvestingActivities,ifrs,duration,debit,P&L / Cash Flow
CashReceiptsFromRepaymentOfAdvancesAndLoansMadeToOtherPartiesClassifiedAsInvestingActivities,ifrs,duration,debit,P&L / Cash Flow
CashReceiptsFromRepaymentOfAdvancesAndLoansMadeToRelatedParties,ifrs,duration,debit,P&L / Cash Flow
ChangeInAmountRecognisedForPreacquisitionDeferredTaxAsset,ifrs,duration,debit,P&L / Cash Flow
ChangesInBiologicalAssets,ifrs,duration,debit,P&L / Cash Flow
ChangesInEquity,ifrs,duration,credit,P&L / Cash Flow
ChangesInExposureToRisk,ifrs,duration,,P&L / Cash Flow
ChangesInFairValueOfFinancialAssetsAttributableToChangesInCreditRiskOfFinancialAssets,ifrs,duration,debit,P&L / Cash Flow
ChangesInFairValueOfFinancialAssetsRelatedCreditDerivativesOrSimilarInstruments,ifrs,duration,,P&L / Cash Flow
ChangesInFairValueOfFinancialLiabilityAttributableToChangesInCreditRiskOfLiability,ifrs,duration,credit,P&L / Cash Flow
ChangesInFairValueOfLoansOrReceivablesAttributableToChangesInCreditRiskOfFinancialAssets,ifrs,duration,debit,P&L / Cash Flow
ChangesInFairValueOfLoansOrReceivablesRelatedCreditDerivativesOrSimilarInstruments,ifrs,duration,,P&L / Cash Flow
ChangesInGoodwill,ifrs,duration,debit,P&L / Cash Flow
ChangesInIntangibleAssetsOtherThanGoodwill,ifrs,duration,debit,P&L / Cash Flow
ChangesInInventoriesOfFinishedGoodsAndWorkInProgress,ifrs,duration,debit,P&L / Cash Flow
ChangesInInvestmentProperty,ifrs,duration,debit,P&L / Cash Flow
ChangesInMethodsAndAssumptionsUsedInPreparingSensitivityAnalysis,ifrs,duration,,P&L / Cash Flow
ChangesInMethodsUsedToMeasureRisk,ifrs,duration,,P&L / Cash Flow
ChangesInObjectivesPoliciesAndProcessesForManagingRisk,ifrs,duration,,P&L / Cash Flow
ChangesInOtherProvisions,ifrs,duration,credit,P&L / Cash Flow
ChangesInPropertyPlantAndEquipment,ifrs,duration,debit,P&L / Cash Flow
ChangesInReimbursementRightsAtFairValue,ifrs,duration,debit,P&L / Cash Flow
CircumstancesLeadingToReversalsOfInventoryWritedown,ifrs,duration,,P&L / Cash Flow
ClaimsAndBenefitsPaidNetOfReinsuranceRecoveries,ifrs,duration,debit,P&L / Cash Flow
CollectionsFromAccountsReceivable,mx_ccd,duration,debit,P&L / Cash Flow
ComissionRepresentativeServices,mx_ccd,duration,debit,P&L / Cash Flow
CommentaryByManagementOnSignificantCashAndCashEquivalentBalancesHeldByEntityThatAreNotAvailableForUseByGroup,ifrs,duration,,P&L / Cash Flow
CommercialCommission,mx_ccd,duration,debit,P&L / Cash Flow
CommitmentsMadeByEntityRelatedPartyTransactions,ifrs,duration,,P&L / Cash Flow
CommitmentsMadeOnBehalfOfEntityRelatedPartyTransactions,ifrs,duration,,P&L / Cash Flow
CompensationFromThirdPartiesForItemsOfPropertyPlantAndEquipment,ifrs,duration,credit,P&L / Cash Flow
ComplianceWithTheBusinessPlanAndInvestmentScheduleAndWhereAppropiateDisvestitures,mx_ccd,duration,,P&L / Cash Flow
ComprehensiveIncome,ifrs,duration,credit,P&L / Cash Flow
ComprehensiveIncomeAttributableToNoncontrollingInterests,ifrs,duration,credit,P&L / Cash Flow
ComprehensiveIncomeAttributableToOwnersOfParent,ifrs,duration,credit,P&L / Cash Flow
ConcentrationsOfRisk,ifrs,duration,,P&L / Cash Flow
ConsiderationPaidReceived,ifrs,duration,credit,P&L / Cash Flow
Consolidated,mx_ccd,duration,,P&L / Cash Flow
ConstantPrepaymentRateSignificantUnobservableInputsAssets,ifrs,duration,,P&L / Cash Flow
ConstantPrepaymentRateSignificantUnobservableInputsEntitysOwnEquityInstruments,ifrs,duration,,P&L / Cash Flow
ConstantPrepaymentRateSignificantUnobservableInputsLiabilities,ifrs,duration,,P&L / Cash Flow
ContingentRentsRecognisedAsExpense,ifrs,duration,debit,P&L / Cash Flow
ContingentRentsRecognisedAsExpenseClassifiedAsFinanceLease,ifrs,duration,debit,P&L / Cash Flow
ContingentRentsRecognisedAsExpenseClassifiedAsOperatingLease,ifrs,duration,debit,P&L / Cash Flow
ContingentRentsRecognisedAsIncome,ifrs,duration,credit,P&L / Cash Flow
ContingentRentsRecognisedAsIncomeClassifiedAsFinanceLease,ifrs,duration,credit,P&L / Cash Flow
ContingentRentsRecognisedAsIncomeClassifiedAsOperatingLease,ifrs,duration,credit,P&L / Cash Flow
ContributionsToPlanByEmployerNetDefinedBenefitLiabilityAsset,ifrs,duration,debit,P&L / Cash Flow
ContributionsToPlanByPlanParticipantsNetDefinedBenefitLiabilityAsset,ifrs,duration,debit,P&L / Cash Flow
ContributionsToPlanNetDefinedBenefitLiabilityAsset,ifrs,duration,debit,P&L / Cash Flow
CostOfInventoriesRecognisedAsExpenseDuringPeriod,ifrs,duration,debit,P&L / Cash Flow
CostOfSales,ifrs,duration,debit,P&L / Cash Flow
CountryOfIncorporation,ifrs,duration,,P&L / Cash Flow
CountryOfIncorporationOfEntityWhoseConsolidatedFinancialStatementsHaveBeenProducedForPublicUse,ifrs,duration,,P&L / Cash Flow
CountryOfIncorporationOfJointOperation,ifrs,duration,,P&L / Cash Flow
CountryOfIncorporationOfJointVenture,ifrs,duration,,P&L / Cash Flow
CountryOfIncorporationOrResidenceOfAssociate,ifrs,duration,,P&L / Cash Flow
CountryOfIncorporationOrResidenceOfSubsidiary,ifrs,duration,,P&L / Cash Flow
CreditrelatedFeeAndCommissionIncome,ifrs,duration,credit,P&L / Cash Flow
CumulativeChangeInFairValueRecognisedInProfitOrLossOnSalesOfInvestmentPropertyBetweenPoolsOfAssetsMeasuredUsingDifferentModels,ifrs,duration,credit,P&L / Cash Flow
CumulativeGainLossOnDisposalOfInvestmentsInEquityInstrumentsDesignatedAsMeasuredAtFairValueThroughOtherComprehensiveIncome,ifrs,duration,credit,P&L / Cash Flow
CumulativePreferenceDividendsNotRecognised,ifrs,duration,,P&L / Cash Flow
CurrentAndDeferredTaxRelatingToItemsChargedOrCreditedDirectlyToEquity,ifrs,duration,debit,P&L / Cash Flow
CurrentEstimateOfFutureCashOutflowsToBePaidToFulfilObligationSignificantUnobservableInputsAssets,ifrs,duration,,P&L / Cash Flow
CurrentEstimateOfFutureCashOutflowsToBePaidToFulfilObligationSignificantUnobservableInputsEntitysOwnEquityInstruments,ifrs,duration,,P&L / Cash Flow
CurrentEstimateOfFutureCashOutflowsToBePaidToFulfilObligationSignificantUnobservableInputsLiabilities,ifrs,duration,,P&L / Cash Flow
CurrentServiceCostNetDefinedBenefitLiabilityAsset,ifrs,duration,credit,P&L / Cash Flow
CurrentTaxExpenseIncome,ifrs,duration,debit,P&L / Cash Flow
CurrentTaxExpenseIncomeAndAdjustmentsForCurrentTaxOfPriorPeriods,ifrs,duration,debit,P&L / Cash Flow
CurrentTaxRelatingToItemsChargedOrCreditedDirectlyToEquity,ifrs,duration,debit,P&L / Cash Flow
DateAsAtWhichEntityPlansToApplyNewIFRSInitially,ifrs,duration,,P&L / Cash Flow
DateByWhichApplicationOfNewIFRSIsRequired,ifrs,duration,,P&L / Cash Flow
DateOfAcquisition2013,ifrs,duration,,P&L / Cash Flow
DateOfAuthorisationForIssueOfFinancialStatements2013,ifrs,duration,,P&L / Cash Flow
DateOfEndOfReportingPeriod2013,ifrs,duration,,P&L / Cash Flow
DateOfEndOfReportingPeriodOfFinancialStatementsOfAssociate,ifrs,duration,,P&L / Cash Flow
DateOfEndOfReportingPeriodOfFinancialStatementsOfJointVenture2013,ifrs,duration,,P&L / Cash Flow
DateOfEndOfReportingPeriodOfFinancialStatementsOfSubsidiary,ifrs,duration,,P&L / Cash Flow
DateOfGrantOfSharebasedPaymentArrangement,ifrs,duration,,P&L / Cash Flow
DateOfOpinionOnTheFinancialStatements,mx_ccd,duration,,P&L / Cash Flow
DateOfReclassificationOfFinancialAssetsDueToChangeInBusinessModel,ifrs,duration,,P&L / Cash Flow
DecreaseDueToHarvestBiologicalAssets,ifrs,duration,credit,P&L / Cash Flow
DecreaseInFairValueMeasurementDueToChangeInOneOrMoreUnobservableInputsToReflectReasonablyPossibleAlternativeAssumptionsAssets,ifrs,duration,credit,P&L / Cash Flow
DecreaseInFairValueMeasurementDueToChangeInOneOrMoreUnobservableInputsToReflectReasonablyPossibleAlternativeAssumptionsEntitysOwnEquityInstruments,ifrs,duration,debit,P&L / Cash Flow
DecreaseInFairValueMeasurementDueToChangeInOneOrMoreUnobservableInputsToReflectReasonablyPossibleAlternativeAssumptionsLiabilities,ifrs,duration,debit,P&L / Cash Flow
DecreaseIncreaseInDesignatedFinancialInstrumentsAtFairValue,mx_ccd,duration,debit,P&L / Cash Flow
DecreaseIncreaseInLoansAndReceivablesAtAmortizedCost,mx_ccd,duration,debit,P&L / Cash Flow
DecreaseIncreaseReceivables,mx_ccd,duration,debit,P&L / Cash Flow
DecreaseIncreaseThroughTaxOnSharebasedPaymentTransactions,ifrs,duration,debit,P&L / Cash Flow
DecreaseThroughBenefitsPaidReimbursementRightsAtFairValue,ifrs,duration,credit,P&L / Cash Flow
DecreaseThroughClassifiedAsHeldForSaleBiologicalAssets,ifrs,duration,credit,P&L / Cash Flow
DecreaseThroughClassifiedAsHeldForSaleGoodwill,ifrs,duration,credit,P&L / Cash Flow
DecreaseThroughClassifiedAsHeldForSaleIntangibleAssetsAndGoodwill,ifrs,duration,credit,P&L / Cash Flow
DecreaseThroughClassifiedAsHeldForSaleIntangibleAssetsOtherThanGoodwill,ifrs,duration,credit,P&L / Cash Flow
